"id","name","title","gender","birth_date","death_date","family_self","family_parents","dist_to_I1208","dist_to_I1128","dist_to_I610","dist_to_I3012","dist_to_I3023","dist_to_I3034","dist_to_I452","dist_to_I444","dist_to_I603","dist_to_I52","min_offset_to_royal","min_dist_to_royal"
"I88","Richard Alexander Walte (Windsor)","Prince","M",1944,,"F23","F19",12,9,8,15,9,18,6,9,8,4,5,4
"I89","Birgitte of Denmark (von Deurs)","Duchess","F",1947,,"F23","",13,10,9,16,10,19,7,10,9,5,5,5
"I90","Alexander Patrick Gregers","Earl of Ulster","M",1974,,"","F23",13,10,9,16,10,19,7,10,9,5,5,5
"I91","Earl Winfield (Spencer)","Jr.","M",1896,,"F24","",13,10,9,16,10,19,7,10,9,5,5,5
"I92","Ernest  (Simpson)",,"M",1896,,"F25","",13,10,9,16,10,19,7,10,9,5,5,5
"I93","Frances  (Burke Roche)","Hon.","F",1936,,"F78 - F297","F119",14,11,9,16,11,19,9,9,9,3,5,3
"I94","Marie Alexandrovna","Grand Duchess","F",1853,1920,"F26","F11",9,9,6,11,9,14,6,7,6,6,5.5,6
"I95","Alfred ","Prince","M",1874,1899,"","F26",10,10,6,12,10,15,6,7,6,6,5.5,6
"I96","Marie of Saxe-Coburg and Gotha","Queen of Romania","F",1875,1938,"F100","F26",10,8,6,12,8,15,6,6,6,6,6,6
"I97","Victoria Melita of Edinburgh","Grand Duchess","F",1876,1936,"F49 - F213","F26",10,10,6,12,10,15,6,7,6,6,5.5,6
"I98","Alexandra ","Princess","F",1878,1942,"F961","F26",10,10,6,12,10,15,6,7,6,6,5.5,6
"I99","Beatrice ","Princess","F",1884,1966,"F960","F26",10,10,6,12,10,15,6,7,6,6,5.5,6
"I100","Louis of Battenberg","Prince","M",1854,1921,"F27","F109",11,8,4,11,8,15,7,6,4,3,5,3
"I101","Alice of Battenberg","Princess","F",1885,1969,"F28","F27",11,8,5,12,8,16,7,6,5,2,5,2
"I102","George  (Mountbatten)","Marquess","M",1892,1938,"F176","F27",11,9,5,12,9,16,7,7,5,4,5,4
"I103","Louis of Burma (Mountbatten)","Earl Mountbatten","M",1900,1979,"F175","F27",11,9,5,12,9,16,7,7,5,4,5,4
"I104","Andrew of Greece","Prince","M",1882,1944,"F28","F75",10,7,6,12,7,15,6,5,6,2,5,2
"I105","Alexander  (Duff)","Duke of Fife","M",1849,1912,"F29","",11,8,6,15,8,18,5,8,6,5,5.5,5
"I106","Alexandra  (Windsor)","Princess","F",1936,,"F30","F17",12,9,8,14,9,17,6,7,8,4,5,4
"I107","Michael  (Windsor)","Prince","M",1942,,"F103","F17",12,9,8,14,9,17,6,7,8,4,5,4
"I108","Angus  (Ogilvy)","Hon.","M",1928,,"F30","",13,10,9,15,10,18,7,8,9,5,5,5
"I109","James Robert Bruc (Ogilvy)",,"M",1964,,"F1411","F30",13,10,9,15,10,18,7,8,9,5,5,5
"I110","Marina Victoria Alexandr (Ogilvy)",,"F",1966,,"F1402","F30",13,10,9,15,10,18,7,8,9,5,5,5
"I111","Katharine  (Worsley)","Duchess of Kent","F",1933,,"F31","F367",13,10,9,15,10,18,7,8,9,5,5,5
"I112","George Philip of St. Andrew (Windsor)","Earl","M",1962,,"F1406","F31",13,10,9,15,10,18,7,8,9,5,5,5
"I113","Helen Marina Luc (Windsor)","Lady","F",1964,,"","F31",13,10,9,15,10,18,7,8,9,5,5,5
