"source","target","family_id","type","min_dist_to_royal"
"I249","I252","F84","father-child",5
"I250","I252","F84","mother-child",5
"I249","I253","F84","father-child",5
"I250","I253","F84","mother-child",5
"I254","I251","F85","wife-husband",4
"I251","I255","F85","father-child",4
"I254","I255","F85","mother-child",4
"I251","I256","F85","father-child",4
"I254","I256","F85","mother-child",4
"I251","I257","F85","father-child",4
"I254","I257","F85","mother-child",4
"I251","I258","F85","father-child",4
"I254","I258","F85","mother-child",4
"I251","I259","F85","father-child",4
"I254","I259","F85","mother-child",4
"I251","I552","F85","father-child",4
"I254","I552","F85","mother-child",4
"I252","I261","F86","wife-husband",6
"I263","I262","F87","wife-husband",6
"I262","I264","F87","father-child",5
"I263","I264","F87","mother-child",6
"I262","I265","F87","father-child",5
"I263","I265","F87","mother-child",6
"I262","I266","F87","father-child",5
"I263","I266","F87","mother-child",6
"I267","I264","F88","wife-husband",7
"I264","I268","F88","father-child",6
"I267","I268","F88","mother-child",7
"I264","I269","F88","father-child",6
"I267","I269","F88","mother-child",7
"I264","I270","F88","father-child",6
"I267","I270","F88","mother-child",7
"I135","I271","F89","wife-husband",5
"I271","I272","F89","father-child",6
"I135","I272","F89","mother-child",5
"I273","I272","F90","wife-husband",7
"I272","I274","F90","father-child",6
"I273","I274","F90","mother-child",7
"I272","I275","F90","father-child",6
"I273","I275","F90","mother-child",7
"I272","I276","F90","father-child",6
"I273","I276","F90","mother-child",7
"I272","I277","F90","father-child",6
"I273","I277","F90","mother-child",7
"I281","I278","F91","wife-husband",5
"I278","I282","F91","father-child",4
"I281","I282","F91","mother-child",5
"I278","I283","F91","father-child",4
"I281","I283","F91","mother-child",5
"I278","I284","F91","father-child",4
"I281","I284","F91","mother-child",5
"I278","I285","F91","father-child",4
"I281","I285","F91","mother-child",5
"I127","I286","F92","wife-husband",21
"I286","I1229","F92","father-child",21
"I127","I1229","F92","mother-child",21
"I286","I1256","F92","father-child",21
"I127","I1256","F92","mother-child",21
"I286","I1257","F92","father-child",21
"I127","I1257","F92","mother-child",21
"I286","I1258","F92","father-child",21
"I127","I1258","F92","mother-child",21
"I214","I290","F93","wife-husband",6
"I292","I244","F94","wife-husband",5
"I244","I293","F94","father-child",4
"I292","I293","F94","mother-child",5
"I244","I294","F94","father-child",4
"I292","I294","F94","mother-child",5
"I244","I295","F94","father-child",4
"I292","I295","F94","mother-child",5
"I296","I291","F95","wife-husband",5
"I291","I297","F95","father-child",4
"I296","I297","F95","mother-child",5
"I299","I298","F96","wife-husband",5
"I298","I226","F96","father-child",5
"I299","I226","F96","mother-child",5
"I298","I300","F96","father-child",5
"I299","I300","F96","mother-child",5
"I302","I301","F97","wife-husband",5
"I301","I298","F97","father-child",5
"I302","I298","F97","mother-child",5
"I301","I134","F97","father-child",5
"I302","I134","F97","mother-child",5
"I304","I303","F98","wife-husband",4
"I303","I305","F98","father-child",4
"I304","I305","F98","mother-child",4
"I303","I137","F98","father-child",4
"I304","I137","F98","mother-child",4
"I303","I306","F98","father-child",4
"I304","I306","F98","mother-child",4
