"hip","proper","ra","dec","mag","t_eff"
6732,"",1.44491,19.240422,5.5,4654
6748,"",1.447657,-13.056512,5.51,7112
6776,"",1.451752,34.377552,6.27,6487
6789,"",1.456475,-22.338232,6.43,4625
6794,"",1.457409,41.101158,6.42,7162
6813,"",1.460915,45.406687,4.83,6631
6822,"",1.462928,-10.901582,6.13,4290
6867,"",1.472759,-43.318234,3.41,3909
6868,"",1.473032,7.961353,6.22,4639
6952,"",1.491816,-46.756422,6.25,3615
6960,"",1.49337,-21.629339,5.11,9164
6971,"",1.495226,-25.617749,6.37,4592
6981,"",1.498017,18.355669,6.01,8004
6999,"",1.501695,47.007274,5.27,4851
7007,"",1.503087,6.14382,4.84,4205
7016,"",1.506362,-26.207851,5.92,4279
7050,"",1.51446,66.098087,6.15,8718
7078,"",1.520444,70.264604,5.82,6331
7083,"",1.520851,-49.072702,3.93,4904
7097,"",1.524725,15.345823,3.62,4900
7115,"",1.527502,-45.575712,6.17,8756
7118,"",1.52868,-30.283081,5.79,4713
7147,"",1.535438,34.799962,6.39,11773
7189,"",1.543438,-49.727713,6.27,6448
7213,"",1.548903,-36.865231,5.49,4809
7243,"",1.555077,8.208738,6.31,5286
7251,"",1.557142,58.327334,5.69,4102
7271,"",1.560901,-78.50482,6.11,4908
7276,"",1.561899,-7.025341,5.75,5759
7283,"",1.563487,89.015639,6.46,8399
7294,"",1.565528,59.23204,4.68,4867
7321,"",1.571279,37.237146,5.9,10773
7345,"",1.57716,-15.676359,5.62,8756
7359,"",1.580296,18.460512,5.9,3921
7361,"",1.580775,-31.892317,6.11,4648
7362,"",1.580922,-3.523889,6.44,4256
7363,"",1.580992,-23.699681,6.41,4313
7387,"",1.587465,-58.139475,6.03,6813
7436,"",1.596234,14.661422,6.23,10120
7443,"",1.597382,-39.947126,6.43,6659
7444,"",1.59793,41.07642,6.39,4625
7447,"",1.598542,17.433841,5.95,7434
7450,"",1.599713,-15.400183,5.41,4446
7463,"",1.602361,-29.907317,5.69,7042
7493,"",1.607557,48.722776,6.2,4427
7505,"",1.612091,7.831529,6.39,3767
7506,"",1.61244,-58.270966,6.18,3762
7513,"",1.613299,41.405459,4.1,6138
7535,"",1.61831,12.141535,5.54,6982
7568,"",1.624389,-84.769593,5.66,4971
7580,"",1.62714,-9.403782,6.24,6170
7588,"Achernar",1.628556,-57.236757,0.45,14093
7593,"",1.629778,64.739357,6.49,5348
7597,"",1.63113,-3.440678,6.43,3855
7601,"",1.631959,-82.974995,5.88,5824
7607,"",1.633205,48.628213,3.59,4364
7617,"",1.635435,57.977631,5.55,4179
7643,"",1.640968,-36.528251,5.94,4764
7650,"",1.641926,73.04004,5.28,4904
7651,"",1.642174,45.399706,6.38,9856
7679,"",1.647718,-21.275384,5.58,6987
7699,"",1.652106,-56.429373,7.08,6430
7710,"",1.654289,14.285557,6.74,4629
7719,"",1.655835,44.386165,5.01,5090
7740,"",1.661338,16.405858,5.98,4631
7751,"",1.663169,-56.1964,5.76,5097
7786,"",1.670308,53.868278,6.35,3760
